Topic	Words	Frequency	Timestamp
13	sultanate, rescues, trafficking, victims, money	2	2024-02-26 00:00:00
14	billions, funding, combat, european, union	1	2024-02-26 00:00:00
15	course, aswan, organize, training, syrians	2	2024-02-26 00:00:00
16	islamic, studies, french, leaves, tunisian	1	2024-02-26 00:00:00
18	hotel, turned, bbc, kalma, specter	3	2024-02-26 00:00:00
19	ramadan, prices, zakat, priority, giving	9	2024-02-26 00:00:00
23	escalation, youth, migration, 10, population	1	2024-02-26 00:00:00
25	children, unicef, child, largest, world	1	2024-02-26 00:00:00
26	positive, flow, crossings, development, border	1	2024-02-26 00:00:00
31	basket, department, passports, ramadan, northern	1	2024-02-26 00:00:00
32	battle, mercenaries, remain, arabs, diaspora	1	2024-02-26 00:00:00
33	biden, presidential, deal, race, policies	2	2024-02-26 00:00:00
35	treated, like, al, libya, libyan	1	2024-02-26 00:00:00
37	increased, egyptian, bank, money, prohibits	1	2024-02-26 00:00:00
40	uganda, obtain, disabled, grant, elderly	3	2024-02-26 00:00:00
43	lose, ongoing, economy, battle, does	1	2024-02-26 00:00:00
44	tragedy, painful, confronting, issues, systematic	1	2024-02-26 00:00:00
45	increased, result, half, holocaust, 48	1	2024-02-26 00:00:00
47	18, sinar, muya, mount, jazira	1	2024-02-26 00:00:00
49	stop, program, food, verge, aid	3	2024-02-26 00:00:00
-1	al, interventions, home, shindi, major	44	2024-03-27 00:00:00
0	field, hospital, circumcision, patients, double	6	2024-03-27 00:00:00
1	rapid, villages, attacks, al, fasher	8	2024-03-27 00:00:00
2	darfur, humanitarian, deterioration, continuous, trucks	5	2024-03-27 00:00:00
3	gaza, arabs, kamal, approach, article	4	2024-03-27 00:00:00
4	electricity, hope, want, returning, nyala	3	2024-03-27 00:00:00
5	exploiting, make, accept, crises, worsening	2	2024-03-27 00:00:00
6	boat, rescues, morocco, coast, sank	3	2024-03-27 00:00:00
7	schools, removing, besieged, denies, force	2	2024-03-27 00:00:00
8	nations, united, urgently, joint, discussing	3	2024-03-27 00:00:00
9	deteriorating, ethiopia, security, camps, ethiopian	1	2024-03-27 00:00:00
10	women, waiting, raped, 50, psychological	2	2024-03-27 00:00:00
11	special, opens, field, uae, visits	2	2024-03-27 00:00:00
12	kordofan, army, result, splm, expected	5	2024-03-27 00:00:00
14	rwanda, britain, seekers, asylum, controversial	2	2024-03-27 00:00:00
15	head, europe, high, commissioner, unhcr	1	2024-03-27 00:00:00
16	organize, preventing, fees, countries, taking	5	2024-03-27 00:00:00
17	diaspora, asylum, freedom, revolution, arabs	1	2024-03-27 00:00:00
18	panic, harsh, west, villages, fasher	1	2024-03-27 00:00:00
19	ramadan, memory, blood, start, outside	2	2024-03-27 00:00:00
20	133, guests, ministers, live, egyptian	1	2024-03-27 00:00:00
21	registered, reaching, waiting, rate, 300	1	2024-03-27 00:00:00
22	paying, going, price, millions, year	1	2024-03-27 00:00:00
23	internal, witnessing, migration, largest, world	1	2024-03-27 00:00:00
27	followers, watch, video, outfits, message	2	2024-03-27 00:00:00
28	identity, marginalization, struggle, muhammad, mahmoud	2	2024-03-27 00:00:00
31	passports, greeting, airport, administration, organizes	1	2024-03-27 00:00:00
33	biden, animals, path, legal, immigrants	2	2024-03-27 00:00:00
36	27, stop, rights, violations, organizations	1	2024-03-27 00:00:00
37	contribute, market, labor, egyptian, immigrants	1	2024-03-27 00:00:00
38	isnaad, launching, quick, working, initiative	2	2024-03-27 00:00:00
40	uganda, safe, traditions, kampala, resist	3	2024-03-27 00:00:00
42	demonstrate, protest, lack, gedaref, food	1	2024-03-27 00:00:00
44	systematic, occupation, painful, confronting, tragedy	1	2024-03-27 00:00:00
49	food, cut, received, hundreds, forced	1	2024-03-27 00:00:00
-1	horrific, al, fasher, hassan, job	38	2024-04-26 00:00:00
0	medicine, health, gedaref, grants, hardships	7	2024-04-26 00:00:00
1	fasher, el, rapid, artillery, shouk	17	2024-04-26 00:00:00
2	hunger, darfur, shouk, camp, besieges	6	2024-04-26 00:00:00
3	gaza, nour, anniversary, know, bombardment	11	2024-04-26 00:00:00
4	omdurman, atbara, dinka, choice, cruel	6	2024-04-26 00:00:00
5	triangle, standards, double, chad, increasing	3	2024-04-26 00:00:00
6	tunisia, deports, migrants, boat, capital	6	2024-04-26 00:00:00
7	schools, school, students, committee, education	16	2024-04-26 00:00:00
9	ethiopia, ethiopian, flee, forests, practices	9	2024-04-26 00:00:00
10	accused, shendi, report, initiative, woman	1	2024-04-26 00:00:00
11	eastern, killed, chad, camp, uae	1	2024-04-26 00:00:00
12	air, sites, shelling, artillery, exchange	2	2024-04-26 00:00:00
14	does, asylum, reject, seekers, decision	6	2024-04-26 00:00:00
15	violation, monitors, unhcr, omdurman, agreements	3	2024-04-26 00:00:00
16	hajj, pilgrims, exit, accommodation, kuwait	4	2024-04-26 00:00:00
17	diaspora, arabs, sweat, brothers, homeland	3	2024-04-26 00:00:00
18	60, flee, shouk, force, violations	1	2024-04-26 00:00:00
19	repercussions, including, ramadan, eid, zakat	1	2024-04-26 00:00:00
20	lift, improving, secret, travel, ban	3	2024-04-26 00:00:00
22	hell, escape, millions, reaches, hate	1	2024-04-26 00:00:00
24	watch, video, tired, steals, arrests	4	2024-04-26 00:00:00
25	child, facing, largest, world, crisis	1	2024-04-26 00:00:00
28	marginalization, muhammad, mahmoud, issues, written	1	2024-04-26 00:00:00
30	recorded, ask, record, report, situation	2	2024-04-26 00:00:00
32	marches, al, bombing, wave, result	2	2024-04-26 00:00:00
33	tighten, laws, immigrants, states, immigration	2	2024-04-26 00:00:00
35	concerned, libya, libyan, accident, kufra	1	2024-04-26 00:00:00
36	rahman, rights, expulsion, abdul, group	2	2024-04-26 00:00:00
38	salman, king, enters, distributes, baskets	2	2024-04-26 00:00:00
39	syrian, lebanon, issue, strongly, jordan	3	2024-04-26 00:00:00
40	bleak, uganda, picture, suffering, integration	1	2024-04-26 00:00:00
41	survived, driver, shooting, ethiopia, killed	1	2024-04-26 00:00:00
43	random, appear, results, 2024, america	2	2024-04-26 00:00:00
46	hague, carrying, season, migration, marra	2	2024-04-26 00:00:00
-1	al, commissioner, fasher, high, el	56	2024-05-26 00:00:00
0	health, ways, camps, moving, discussing	4	2024-05-26 00:00:00
1	fasher, el, shelling, artillery, rapid	7	2024-05-26 00:00:00
2	darfur, osha, feed, responds, makes	6	2024-05-26 00:00:00
3	tents, bombing, gaza, soldier, shooting	8	2024-05-26 00:00:00
4	muya, mount, control, sennar, hundreds	4	2024-05-26 00:00:00
5	amhara, democratic, awaits, mechanism, imminent	4	2024-05-26 00:00:00
6	say, building, sfax, die, coast	2	2024-05-26 00:00:00
7	education, kassala, enters, schools, line	3	2024-05-26 00:00:00
8	result, nations, united, warns, conflict	1	2024-05-26 00:00:00
9	ethiopia, forests, ethiopian, complaints, miserable	15	2024-05-26 00:00:00
10	female, doctors, suffering, women, sexual	1	2024-05-26 00:00:00
11	welcomes, work, make, commitment, governments	5	2024-05-26 00:00:00
13	trafficking, human, victims, arrested, foreign	6	2024-05-26 00:00:00
15	unhcr, commissioner, influx, massive, organizations	6	2024-05-26 00:00:00
16	hajj, violators, permits, fraud, expensive	3	2024-05-26 00:00:00
17	diaspora, attawa, thoughts, failure, dream	2	2024-05-26 00:00:00
18	al, locality, distribution, appeals, marra	3	2024-05-26 00:00:00
19	eid, family, al, joy, sadness	4	2024-05-26 00:00:00
20	egyptian, arqin, deported, 700, receives	8	2024-05-26 00:00:00
21	economic, buses, seized, political, residency	2	2024-05-26 00:00:00
23	migration, 10, quarter, population, reach	3	2024-05-26 00:00:00
24	describes, left, hemedti, poor, attacks	1	2024-05-26 00:00:00
28	marginalization, mahmoud, muhammad, issues, pastoralist	3	2024-05-26 00:00:00
29	tell, stories, horrific, tawila, waves	2	2024-05-26 00:00:00
30	statistics, quarter, internally, regarding, population	4	2024-05-26 00:00:00
31	passports, administration, pilgrims, administrative, groups	2	2024-05-26 00:00:00
32	al, twice, militia, federal, expelled	2	2024-05-26 00:00:00
33	biden, announce, mexico, absorb, criticism	2	2024-05-26 00:00:00
35	accident, traffic, libyan, libya, kufra	4	2024-05-26 00:00:00
36	stop, deporting, accuses, authorities, egyptian	6	2024-05-26 00:00:00
37	billion, authority, approximately, told, reasons	1	2024-05-26 00:00:00
38	volunteers, provide, area, fleeing, city	1	2024-05-26 00:00:00
39	haven, syrian, lebanon, issue, lebanese	1	2024-05-26 00:00:00
42	siege, worsens, receives, zamzam, result	1	2024-05-26 00:00:00
43	seeking, enemy, america, reach, threatens	1	2024-05-26 00:00:00
46	carrying, marra, jebel, african, migration	3	2024-05-26 00:00:00
47	neighboring, areas, wave, fasher, el	1	2024-05-26 00:00:00
48	18, america, provides, dollars, 16	1	2024-05-26 00:00:00
51	regional, authority, residents, continues, forced	1	2024-05-26 00:00:00
53	returnee, flows, meet, blue, needs	1	2024-05-26 00:00:00
-1	al, sennar, gedaref, sinja, fasher	78	2024-06-25 00:00:00
0	health, diseases, medical, spread, sinja	12	2024-06-25 00:00:00
1	rapid, fasher, al, el, artillery	7	2024-06-25 00:00:00
2	homeless, humanitarian, sinar, darfur, disaster	11	2024-06-25 00:00:00
3	yunis, khan, gaza, raid, occupation	8	2024-06-25 00:00:00
4	sennar, sinjah, blue, markets, gedaref	13	2024-06-25 00:00:00
5	kufra, deteriorated, tens, chad, adre	6	2024-06-25 00:00:00
6	english, french, sank, coast, boat	2	2024-06-25 00:00:00
7	schools, students, preparation, effort, education	7	2024-06-25 00:00:00
8	nations, united, planning, inability, seeks	4	2024-06-25 00:00:00
9	ethiopia, ethiopian, olala, forest, set	17	2024-06-25 00:00:00
10	women, doubles, violence, rape, sahara	7	2024-06-25 00:00:00
11	mechanisms, controlling, khaled, joint, ambassador	2	2024-06-25 00:00:00
12	55, fighting, sinja, sennar, battles	8	2024-06-25 00:00:00
13	trafficking, human, combating, pretext, abuse	5	2024-06-25 00:00:00
14	immigration, european, union, illegal, sign	10	2024-06-25 00:00:00
15	unhcr, exacerbates, influx, emergency, continued	6	2024-06-25 00:00:00
16	al, expensive, foreigners, cities, begins	5	2024-06-25 00:00:00
17	jamal, diaspora, success, forum, project	3	2024-06-25 00:00:00
18	dinder, pillar, farm, refused, car	5	2024-06-25 00:00:00
19	model, protect, god, shalatin, follows	3	2024-06-25 00:00:00
20	violates, deports, stresses, controls, residency	6	2024-06-25 00:00:00
21	incitement, campaigns, risk, deportation, harsh	9	2024-06-25 00:00:00
23	migration, population, 328, leads, 10	5	2024-06-25 00:00:00
24	watch, video, mocks, citizen, youth	5	2024-06-25 00:00:00
25	unicef, children, child, told, witnessing	2	2024-06-25 00:00:00
26	announce, qalabat, flow, crossing, border	1	2024-06-25 00:00:00
28	marginalization, mahmoud, muhammad, issues, written	4	2024-06-25 00:00:00
29	levels, worsen, gash, reaches, rising	2	2024-06-25 00:00:00
30	studying, 328, reached, exceeds, despite	4	2024-06-25 00:00:00
31	passports, administration, authority, general, service	2	2024-06-25 00:00:00
34	organization, migration, sums, dongola, cash	2	2024-06-25 00:00:00
35	libya, libyan, kufra, trade, brothers	4	2024-06-25 00:00:00
37	commodity, doubles, decline, kosti, rise	2	2024-06-25 00:00:00
38	carry, volunteers, distribute, neighborhood, meals	1	2024-06-25 00:00:00
39	syrian, reality, besieging, lebanon, dream	1	2024-06-25 00:00:00
40	uganda, reality, kriandingo, miserable, crowded	3	2024-06-25 00:00:00
41	armed, attack, ethiopia, ethiopian, comer	9	2024-06-25 00:00:00
42	deterioration, reception, mashad, sinnar, criminal	2	2024-06-25 00:00:00
46	season, africa, doctors, migration, fleeing	2	2024-06-25 00:00:00
47	residents, al, wave, fasher, sinja	3	2024-06-25 00:00:00
48	pounds, britain, dollars, 16, agency	1	2024-06-25 00:00:00
50	urges, official, community, fled, government	1	2024-06-25 00:00:00
51	civilians, continued, battles, sennar, nyala	1	2024-06-25 00:00:00
52	ignoring, accuses, ambassador, control, border	2	2024-06-25 00:00:00
-1	al, floods, port, aid, shelter	32	2024-07-25 00:00:00
0	village, outbreak, water, river, nile	1	2024-07-25 00:00:00
1	taqaddum, division, dinder, bullets, supplies	3	2024-07-25 00:00:00
2	darfur, famine, denies, north, reports	6	2024-07-25 00:00:00
4	rain, fear, sennar, merchants, sweat	3	2024-07-25 00:00:00
5	haunt, equality, situations, 15, beginning	2	2024-07-25 00:00:00
9	ethiopia, foot, olala, forests, forest	3	2024-07-25 00:00:00
10	women, raped, testimony, age, threats	4	2024-07-25 00:00:00
11	chad, neighboring, ministry, foreign, strategy	5	2024-07-25 00:00:00
12	zamzam, aviation, receives, battles, army	2	2024-07-25 00:00:00
16	kuwait, qatari, accelerate, violators, platform	3	2024-07-25 00:00:00
17	thought, forum, moving, importance, diaspora	1	2024-07-25 00:00:00
18	warehouses, jabal, market, kosti, coming	1	2024-07-25 00:00:00
19	flows, zakat, office, affected, region	1	2024-07-25 00:00:00
23	catastrophic, collapse, says, migration, situation	1	2024-07-25 00:00:00
24	nada, blow, surprises, livelihood, returns	1	2024-07-25 00:00:00
26	sovereignty, council, border, crossing, adre	7	2024-07-25 00:00:00
27	explains, refuses, clear, requests, doctor	1	2024-07-25 00:00:00
29	floods, rains, heavy, kassala, thousand	5	2024-07-25 00:00:00
30	country, world, internally, statistics, quarter	2	2024-07-25 00:00:00
33	deprives, immigration, immigrants, biden, threatens	1	2024-07-25 00:00:00
34	organization, mission, tens, head, migration	2	2024-07-25 00:00:00
35	accident, traffic, claims, kufra, libya	2	2024-07-25 00:00:00
36	gathering, equality, welcome, sovereignty, justice	1	2024-07-25 00:00:00
38	al, governorate, damazin, distributes, peace	1	2024-07-25 00:00:00
41	armed, attack, ethiopia, ethiopian, stuck	1	2024-07-25 00:00:00
52	geneva, talks, welcome, crossing, border	3	2024-07-25 00:00:00
-1	al, floods, migration, red, shelter	44	2024-08-24 00:00:00
0	health, doctors, world, level, disease	14	2024-08-24 00:00:00
1	rapid, bombing, salamat, fasher, el	4	2024-08-24 00:00:00
2	starvation, darfur, north, warnings, tragic	6	2024-08-24 00:00:00
3	gaza, recruited, crowds, raid, yunis	4	2024-08-24 00:00:00
4	leaving, mellit, continues, wave, city	1	2024-08-24 00:00:00
5	libya, isnaad, gathering, standards, important	6	2024-08-24 00:00:00
7	begun, transfer, education, schools, arrangements	4	2024-08-24 00:00:00
8	nations, united, pays, sake, aviation	3	2024-08-24 00:00:00
9	searching, ethiopia, lost, journey, transit	3	2024-08-24 00:00:00
10	women, protection, official, pregnant, raped	8	2024-08-24 00:00:00
11	uae, chad, blood, rsf, pay	4	2024-08-24 00:00:00
12	leads, violent, fighting, wave, khartoum	1	2024-08-24 00:00:00
15	commissioner, situation, 52, care, protection	3	2024-08-24 00:00:00
18	dinder, line, marra, jebel, harsh	2	2024-08-24 00:00:00
20	obtaining, despite, deport, authorities, egyptian	1	2024-08-24 00:00:00
22	yemen, weapon, using, eviction, risk	2	2024-08-24 00:00:00
29	torrential, rains, linking, road, cut	2	2024-08-24 00:00:00
30	according, reports, 12, nations, united	1	2024-08-24 00:00:00
31	visa, today, season, britain, stop	1	2024-08-24 00:00:00
33	immigrants, steps, eating, eat, claims	3	2024-08-24 00:00:00
34	arrivals, partners, dongola, distribute, migration	3	2024-08-24 00:00:00
37	bank, prohibits, central, granting, switzerland	4	2024-08-24 00:00:00
40	uganda, massive, influx, integration, difficulties	1	2024-08-24 00:00:00
41	stranded, danger, ethiopian, face, battles	1	2024-08-24 00:00:00
42	al, reception, atbara, visits, harsh	2	2024-08-24 00:00:00
43	grants, global, citizenship, gives, economy	2	2024-08-24 00:00:00
45	holocaust, survived, testimony, happened, look	1	2024-08-24 00:00:00
51	houses, fall, committees, resistance, collapse	1	2024-08-24 00:00:00
-1	al, arab, expatriate, hospice, baskets	37	2024-09-23 00:00:00
0	health, besiege, disease, eastern, looting	17	2024-09-23 00:00:00
1	shelling, artillery, rapid, mutual, fasher	5	2024-09-23 00:00:00
2	refuse, bases, gave, 24, sets	3	2024-09-23 00:00:00
3	gaza, martyrs, raid, tents, burning	3	2024-09-23 00:00:00
4	gezira, massive, continued, families, citizens	2	2024-09-23 00:00:00
5	protest, africa, lack, central, aid	1	2024-09-23 00:00:00
7	university, initiative, schools, students, prepare	6	2024-09-23 00:00:00
8	warns, nations, united, worsening, continuation	5	2024-09-23 00:00:00
9	ethiopia, asylum, rights, battles, human	6	2024-09-23 00:00:00
10	raped, sexual, women, complain, africa	2	2024-09-23 00:00:00
11	200, record, flow, chad, western	2	2024-09-23 00:00:00
12	tear, road, gas, violent, waves	3	2024-09-23 00:00:00
13	welcomes, trafficking, human, restrictions, america	2	2024-09-23 00:00:00
15	begun, voluntary, commissioner, return, unhcr	1	2024-09-23 00:00:00
17	diaspora, learn, generosity, let, links	4	2024-09-23 00:00:00
18	imminent, disaster, marra, jebel, warnings	2	2024-09-23 00:00:00
20	represents, cost, travel, wadi, deported	1	2024-09-23 00:00:00
21	133, territory, difficulties, wadi, facing	3	2024-09-23 00:00:00
23	migration, western, northern, fighting, result	2	2024-09-23 00:00:00
24	long, chad, watch, video, famous	2	2024-09-23 00:00:00
26	closure, jibril, crossing, ibrahim, border	4	2024-09-23 00:00:00
27	driver, longer, mind, responds, girl	1	2024-09-23 00:00:00
28	passed, muhammad, away, marginalization, 2024	2	2024-09-23 00:00:00
31	proof, authority, america, reception, praises	1	2024-09-23 00:00:00
32	despite, invades, pressure, relieve, invasion	3	2024-09-23 00:00:00
33	immigrants, disabled, bad, irregular, escalates	3	2024-09-23 00:00:00
34	praises, efforts, organization, migration, commissioner	1	2024-09-23 00:00:00
35	absorb, libyan, head, immigrants, libya	1	2024-09-23 00:00:00
37	reverse, price, egyptian, migration, bank	1	2024-09-23 00:00:00
39	lebanese, syrian, lebanon, guests, club	3	2024-09-23 00:00:00
40	uganda, taking, 55, measures, seekers	2	2024-09-23 00:00:00
44	painful, tragedy, human, confronting, issues	2	2024-09-23 00:00:00
47	zamzam, wave, fasher, el, camp	1	2024-09-23 00:00:00
48	dollars, agency, libya, pounds, provision	3	2024-09-23 00:00:00
49	complain, food, aid, chad, stop	1	2024-09-23 00:00:00
50	kassab, north, rapid, darfur, camp	1	2024-09-23 00:00:00
51	salaam, es, dar, residents, fighting	1	2024-09-23 00:00:00
52	remain, demands, open, crossing, border	1	2024-09-23 00:00:00
-1	al, jazira, east, island, halfa	85	2024-10-23 00:00:00
0	east, island, outbreak, health, eastern	16	2024-10-23 00:00:00
1	al, fasher, wave, el, escalates	11	2024-10-23 00:00:00
2	darfur, humanitarian, south, camp, aid	7	2024-10-23 00:00:00
3	gaza, bombing, appears, policy, yunis	4	2024-10-23 00:00:00
4	names, completely, times, al, provides	1	2024-10-23 00:00:00
5	libya, escalation, chad, bleak, protests	8	2024-10-23 00:00:00
7	17, certificate, students, inventory, batch	2	2024-10-23 00:00:00
8	jazirah, data, 11, exceeds, al	2	2024-10-23 00:00:00
9	ethiopia, policy, tension, forest, newspaper	4	2024-10-23 00:00:00
10	women, sexual, violence, press, rape	10	2024-10-23 00:00:00
11	address, algeria, secretary, crises, efforts	6	2024-10-23 00:00:00
12	spark, rsf, mass, increase, clashes	2	2024-10-23 00:00:00
13	organizes, workshop, trafficking, combat, human	1	2024-10-23 00:00:00
14	illegal, immigration, phenomenon, reduce, doomed	4	2024-10-23 00:00:00
15	11, high, commissioner, nations, united	1	2024-10-23 00:00:00
16	settle, advantage, took, hemedti, arabs	1	2024-10-23 00:00:00
17	diaspora, ethnic, cleansing, history, marginalization	6	2024-10-23 00:00:00
18	democratic, civilian, heart, stranded, stories	3	2024-10-23 00:00:00
19	tired, sadness, hajj, poor, al	2	2024-10-23 00:00:00
21	draft, registered, nationality, highest, law	6	2024-10-23 00:00:00
22	targeted, janjaweed, millions, civilians, reaches	1	2024-10-23 00:00:00
23	14, migration, 10, population, internal	1	2024-10-23 00:00:00
24	sexy, dance, riyadh, season, visits	1	2024-10-23 00:00:00
25	age, children, risk, organization, millions	3	2024-10-23 00:00:00
26	adrei, closure, controversy, crossing, border	1	2024-10-23 00:00:00
28	marginalization, wants, veto, progress, muhammad	3	2024-10-23 00:00:00
29	island, east, invades, waves, circulating	6	2024-10-23 00:00:00
30	miscarriages, rise, crisis, internally, statistics	1	2024-10-23 00:00:00
31	passports, administration, department, general, foreigners	1	2024-10-23 00:00:00
32	victim, fallen, bleeding, pain, mubarak	2	2024-10-23 00:00:00
34	organization, 14, 30, migration, population	2	2024-10-23 00:00:00
35	libyan, arrives, batch, kufra, city	1	2024-10-23 00:00:00
38	localities, distributing, kassala, families, island	1	2024-10-23 00:00:00
40	uganda, integration, difficulties, despite, complain	2	2024-10-23 00:00:00
42	al, inspects, storm, dulaiq, shindi	3	2024-10-23 00:00:00
44	confronting, issues, painful, tragedy, human	3	2024-10-23 00:00:00
45	moving, sides, areas, coordination, warns	1	2024-10-23 00:00:00
47	invasion, jazira, east, following, arrival	3	2024-10-23 00:00:00
51	coexistence, dagalo, white, militia, attack	2	2024-10-23 00:00:00
52	delivering, airports, accuses, weapons, hemedti	1	2024-10-23 00:00:00
